Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Пилипенко,Демид,Володимирович,male,1966-01-13,Фінансовий аналітик,селище Тальне,"проспект Суднобудівна, буд. 2, Бахмач, 76187",+380 10 125-89-87,taras86@example.org
Шеремет,Венедикт,Зеновійович,male,1986-07-25,Кадровий менеджер,місто Ананьїв,"узвіз Академіка Заболотного, буд. 14, Долина , 65028",914-02-55,qbaida@example.org
Хмара,Вікторія,Кирилівна,female,1940-04-01,Бухгалтер,місто Таврійськ,"набережна Сортувальна 1-ша, буд. 3, Бучач, 31492",+380 87 927-84-26,alinaderiazhnyi@example.net
Кармалюк,Володимир,Борисович,male,2000-05-08,PR-менеджер,село Моспине,"провулок Лавкова, буд. 904 кв. 12, Буча, 93162",+380 01 308-46-82,danylo23@example.com
Піддубний,Михайлина,Вікторівна,female,1966-07-10,Менеджер з маркетингу,село Курахове,"шосе Бреуса, буд. 30 кв. 3, Балаклія, 72123",+380 29 273-35-51,adrozd@example.org
Вівчаренко,Юхим,Давидович,male,1943-04-13,HR-менеджер,хутір Пологи ,"сквер Західний 1-й, буд. 512, Енергодар, 71786",+380 74 011 63 83,msirko@example.org
Чорновіл,Демид,Євгенович,male,1962-11-17,Менеджер з закупівель,хутір Тлумач,"площа Зої Космодем’янської, буд. 1, Остер , 87049",010 756 37 08,fhavryliuk@example.com
Зінченко,Василь,Сергійович,male,1995-04-24,Менеджер з маркетингу,місто Марганець ,"провулок Яблочкіної, буд. 4, Почаїв, 77070",+380 82 628-63-76,nadiia59@example.org
Устенко,Сергій,Станіславович,male,1943-05-02,Тестувальник,село Київ,"провулок Львівський, буд. 0 кв. 2, Болехів, 40896",+380 43 538 09 37,avreliisvyrydenko@example.com
Вишняк,Розалія,Назарівна,female,1939-04-23,Програміст,місто Рахів,"шосе Юхима Геллера, буд. 752 кв. 32, Мена , 85496",978-05-99,nzakharenko@example.net
Адаменко,Аарон,Борисович,male,1992-03-31,Менеджер з продукту,селище Першотравенськ,"провулок Пассіонарії, буд. 8, Сарни, 12437",934-48-89,ruslaniatsenko@example.org
Фастенко,Алевтин,Мар'янович,male,1946-07-07,Копірайтер,село Новий Розділ,"провулок Моторний 2-й, буд. 829 кв. 5, Скадовськ, 25511",+380 45 239 68 18,tdubas@example.net
Дейнека,Віолетта,Костянтинівна,female,1972-09-05,Менеджер з продукту,селище Рава-Руська,"площа Дев’ята, буд. 2 кв. 467, Антрацит , 91111",+380 77 926-08-22,gbevzenko@example.net
Заїка,Богодар,Ігорович,male,1998-06-05,Тестувальник,хутір Харцизьк,"сквер Степана Разіна, буд. 091 кв. 39, Рудки, 81145",744 95 16,priska57@example.com
Ткаченко,Теодор,Романович,male,1994-07-04,Інженер з якості,хутір Докучаєвськ,"провулок Михайлівська, буд. 3 кв. 813, Горохів, 92514",054 807-93-70,ivan16@example.net
Дробаха,Валерій,Сергійович,male,2008-12-24,Кадровий менеджер,село Красноперекопськ,"шосе Спортивний, буд. 5, Ірміно, 97183",560 01 91,honyshchenko@example.net
Василевич,Руслан,Михайлович,male,2008-03-04,Кадровий менеджер,селище Радивилів,"сквер Восьмого Березня Лінія 2-га, буд. 39, Кагарлик, 70646",+380 24 916 63 66,feofanperebyinis@example.com
Михалюк,Станіслав,Мар'янович,male,1978-05-04,Асистент керівника,місто Миргород,"набережна Віцеадмірала Жукова, буд. 3, Путивль, 46940",+380 44 218 78 80,diukhymenko@example.com
Абраменко,Еріка,Тимофіївна,female,1985-04-29,Аудитор,місто Гайворон,"парк Артилерійська, буд. 6, Батурин, 91063",+380 (99) 934-47-32,fperepelytsia@example.org
Макогон,Степан,Іванович,male,1938-10-26,Менеджер з маркетингу,село Кам'янець-Подільський,"сквер Соляний 2-й, буд. 14 кв. 19, Авдіївка, 84775",145-80-62,costapchuk@example.net
Шухевич,Одарка,Михайлівна,female,1945-01-25,Копірайтер,село Коростишів,"набережна Єлісаветинська, буд. 62, Соледар, 77580",734-61-57,qfranchuk@example.com
Скиба,Омелян,Остапович,male,1947-12-01,Системний адміністратор,селище Узин,"сквер Амурський 2-й, буд. 17 кв. 48, Гуляйполе, 12631",+380 13 992 61 04,bevzleontii@example.org
Ґерета,Єфрем,Назарович,male,1941-10-13,Менеджер з закупівель,село Новоград-Волинський,"вулиця Гена Іоганна, буд. 51, Кам'янка (Черкаська область), 30021",050 047 70 73,danylchukvadym@example.com
Деряжний,Олег,Вікторович,male,1943-09-11,Аудитор,місто Бар,"провулок Лінія 47-ма, буд. 58, Бурштин , 65767",009 806-88-11,davyd18@example.net
Микитюк,Трохим,Тарасович,male,1943-10-04,Тестувальник,селище Нікополь,"провулок Лінія 29-та, буд. 942, Кадіївка, 66224",+380 05 575 17 59,vitalii19@example.net
Закусило,Світлана,Ярославівна,female,1942-12-20,HR-менеджер,місто Корсунь-Шевченківський,"площа Казанська, буд. 7, Галич, 53682",+380 73 936-60-10,anastasiiaalekseienko@example.org
Литвин,Миколай,Олександрович,male,1984-12-29,Менеджер з продукту,хутір Луганськ,"провулок 12-та ст. Великого Фонтану пляж, буд. 33 кв. 63, Кам'янець-Подільський, 36802",798-02-32,leopold46@example.net
Парасюк,Дмитро,Вікторович,male,1985-05-28,Менеджер з закупівель,селище Хирів,"набережна Злакова, буд. 3, Броди, 01786",969 22 17,tholoborodko@example.net
Асаула,Яків,Марківич,male,1976-07-18,PR-менеджер,місто Славута,"узвіз Тракторна, буд. 94, Великі Мости, 34954",003 678 57 62,nazarenkoolha@example.com
Хмара,Сніжана,Павлівна,female,1996-02-24,Менеджер з продажу,село Суми,"набережна Катерининська, буд. 93 кв. 4, Сміла, 92302",+380 54 931-87-19,zorian78@example.net
Александренко,Зиновій,Тарасович,male,1996-05-15,Фінансовий аналітик,місто Бурштин ,"сквер Маяковського, буд. 221 кв. 47, Саки , 12598",+380 76 448 45 93,vladyslav84@example.net
Чорновіл,Михайлина,Данилівна,female,1987-08-15,Дизайнер,місто Часів Яр,"вулиця Колонічна, буд. 843, Географія Вільнянська, 65720",+380 43 181-52-76,viterlarysa@example.org
Зарудний,Азар,Кирилович,male,1980-06-21,Аналітик даних,місто Новгород-Сіверський,"провулок Степна, буд. 58, Кипуче, 76580",026 267-97-77,urebryk@example.net
Данько,Тереза,Ігорівна,female,1961-07-24,Фінансовий аналітик,селище Чортків,"сквер Бузковий, буд. 1 кв. 61, Трускавець, 04977",+380 21 180 39 35,svitlanahrytsenko@example.org
Дейнеко,Гліб,Костянтинович,male,2004-09-29,Менеджер з продажу,село Новогродівка,"вулиця Лузанівська, буд. 244, Зеленодольськ, 11835",673 94 97,korzhleon@example.com
Гайденко,Леонтій,Тимофійович,male,1945-03-03,Інженер з якості,село Добропілля,"провулок Запорізька, буд. 047, Переяслав, 85480",083 968-51-26,fskoryk@example.org
